Volcano Number,Volcano Name,VEI,Eruption Category,Latitude,Longitude,Country,Recoded Volcano Type,Region,Recoded Dominant Rock Type,Tectonic Setting,Elevation (m)
264050,Sangeang Api,,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,3.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,,Uncertain Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,3.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,1.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,1.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,1.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,1.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,3.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,2.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
264050,Sangeang Api,3.0,Confirmed Eruption,-8.2,119.07,Indonesia,Complex,Indonesia,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km),1912
262000,Krakatau,,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,3.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Uncertain Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,3.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,1.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,3.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
262000,Krakatau,2.0,Confirmed Eruption,-6.102,105.423,Indonesia,Caldera,Indonesia,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km),155
